Year;Factor;0.4;5.9;10.14;15.19;20.24;25.29;30.34;35.39;40.44;45.49;50.54;55.59;60.64;65.69;70.74;75.79;80 and over;Total;Ethnicity
1998;Male;0;0;0;0;0;0;0;1;0;1;1;1;2;4;5;3;1;19;Maori
1998;Female;0;0;1;0;0;0;2;0;0;3;2;4;2;3;3;4;0;24;Maori
1998;Total;0;0;1;0;0;0;2;1;0;4;3;5;4;7;8;7;1;43;Maori
1999;Male;0;0;0;0;1;0;1;2;2;1;3;0;0;1;1;1;1;14;Maori
1999;Female;0;0;0;0;0;0;2;0;4;2;4;6;5;2;1;1;3;30;Maori
1999;Total;0;0;0;0;1;0;3;2;6;3;7;6;5;3;2;2;4;44;Maori
2000;Male;0;0;0;0;0;0;1;4;0;0;1;1;2;2;3;2;1;17;Maori
2000;Female;0;0;0;0;0;0;0;0;0;3;0;3;2;2;1;6;2;19;Maori
2000;Total;0;0;0;0;0;0;1;4;0;3;1;4;4;4;4;8;3;36;Maori
2001;Male;0;0;0;0;0;0;1;3;2;1;0;3;1;1;1;3;1;17;Maori
2001;Female;0;0;0;0;0;0;1;0;2;1;4;3;2;3;6;2;0;24;Maori
2001;Total;0;0;0;0;0;0;2;3;4;2;4;6;3;4;7;5;1;41;Maori
2002;Male;0;0;0;0;1;0;2;1;0;0;4;0;1;3;3;2;1;18;Maori
2002;Female;0;0;0;0;0;0;2;2;1;0;1;3;1;2;4;1;1;18;Maori
2002;Total;0;0;0;0;1;0;4;3;1;0;5;3;2;5;7;3;2;36;Maori
2003;Male;0;0;0;1;0;0;1;1;1;3;1;2;1;0;3;1;0;15;Maori
2003;Female;0;0;0;0;0;0;1;1;4;2;3;2;3;5;3;5;3;32;Maori
2003;Total;0;0;0;1;0;0;2;2;5;5;4;4;4;5;6;6;3;47;Maori
2004;Male;0;0;0;0;0;0;1;0;2;3;1;0;3;5;2;4;0;21;Maori
2004;Female;0;0;0;0;1;1;0;0;1;2;5;3;6;5;7;0;1;32;Maori
2004;Total;0;0;0;0;1;1;1;0;3;5;6;3;9;10;9;4;1;53;Maori
2005;Male;0;0;0;0;0;0;1;4;2;0;0;3;2;1;2;1;2;18;Maori
2005;Female;0;0;0;0;0;0;0;0;2;2;1;2;2;5;3;2;0;19;Maori
2005;Total;0;0;0;0;0;0;1;4;4;2;1;5;4;6;5;3;2;37;Maori
2006;Male;0;0;0;0;0;0;2;1;2;3;4;2;1;2;1;1;1;20;Maori
2006;Female;0;0;0;0;0;0;1;0;2;3;0;0;9;5;3;4;1;28;Maori
2006;Total;0;0;0;0;0;0;3;1;4;6;4;2;10;7;4;5;2;48;Maori
2007;Male;0;0;0;0;0;0;2;6;1;4;4;1;3;1;3;2;1;28;Maori
