"","type","sep","file","ethn","issue","dep","country","geog"
"35","n",",","data/numerator/dep/mort910dep0637maorinat.csv","Maori","Mortality - Total","910","New Zealand","National"
"36","n",",","data/numerator/mort037nonmaorinat.csv","Non-Maori","Mortality - Total",NA,"New Zealand","National"
"37","n",",","data/numerator/dep/mort1dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","1","New Zealand","National"
"38","n",",","data/numerator/dep/mort2dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","2","New Zealand","National"
"39","n",",","data/numerator/dep/mort3dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","3","New Zealand","National"
"40","n",",","data/numerator/dep/mort4dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","4","New Zealand","National"
"41","n",",","data/numerator/dep/mort5dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","5","New Zealand","National"
"42","n",",","data/numerator/dep/mort6dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","6","New Zealand","National"
"43","n",",","data/numerator/dep/mort7dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","7","New Zealand","National"
"44","n",",","data/numerator/dep/mort8dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","8","New Zealand","National"
"45","n",",","data/numerator/dep/mort9dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","9","New Zealand","National"
"46","n",",","data/numerator/dep/mort10dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","10","New Zealand","National"
"47","n",",","data/numerator/dep/mort12dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","12","New Zealand","National"
"48","n",",","data/numerator/dep/mort34dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","34","New Zealand","National"
"49","n",",","data/numerator/dep/mort56dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","56","New Zealand","National"
"50","n",",","data/numerator/dep/mort78dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","78","New Zealand","National"
"51","n",",","data/numerator/dep/mort910dep0637nonmaorinat.csv","Non-Maori","Mortality - Total","910","New Zealand","National"
"52","n",",","data/numerator/mort037pacificnat.csv","Pacific","Mortality - Total",NA,"New Zealand","National"
"53","n",",","data/numerator/mort037nonpacificnat.csv","Non-Pacific","Mortality - Total",NA,"New Zealand","National"
"54","n",",","data/numerator/mort037asiannat.csv","Asian","Mortality - Total",NA,"New Zealand","National"
"55","n",",","data/numerator/mort037nonasiannat.csv","Non-Asian","Mortality - Total",NA,"New Zealand","National"
"56","n",",","data/numerator/mort037nonpacificnonmaorinat.csv","Non-Pacific-Non-Maori","Mortality - Total",NA,"New Zealand","National"
"57","n",",","data/numerator/dep/mort1dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","1","New Zealand","National"
"58","n",",","data/numerator/dep/mort2dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","2","New Zealand","National"
"59","n",",","data/numerator/dep/mort3dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","3","New Zealand","National"
"60","n",",","data/numerator/dep/mort4dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","4","New Zealand","National"
"61","n",",","data/numerator/dep/mort5dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","5","New Zealand","National"
"62","n",",","data/numerator/dep/mort6dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","6","New Zealand","National"
"63","n",",","data/numerator/dep/mort7dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","7","New Zealand","National"
"64","n",",","data/numerator/dep/mort8dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","8","New Zealand","National"
"65","n",",","data/numerator/dep/mort9dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","9","New Zealand","National"
"66","n",",","data/numerator/dep/mort10dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","10","New Zealand","National"
"67","n",",","data/numerator/dep/mort12dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","12","New Zealand","National"
"68","n",",","data/numerator/dep/mort34dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","34","New Zealand","National"
"69","n",",","data/numerator/dep/mort56dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","56","New Zealand","National"
"70","n",",","data/numerator/dep/mort78dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","78","New Zealand","National"
"71","n",",","data/numerator/dep/mort910dep06pearcetotalnat.csv","Total","Mortality - Pearce Amenable","910","New Zealand","National"
"72","n",",","data/numerator/dep/mort1dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","1","New Zealand","National"
"73","n",",","data/numerator/dep/mort2dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","2","New Zealand","National"
"74","n",",","data/numerator/dep/mort3dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","3","New Zealand","National"
"75","n",",","data/numerator/dep/mort4dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","4","New Zealand","National"
"76","n",",","data/numerator/dep/mort5dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","5","New Zealand","National"
"77","n",",","data/numerator/dep/mort6dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","6","New Zealand","National"
"78","n",",","data/numerator/dep/mort7dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","7","New Zealand","National"
"79","n",",","data/numerator/dep/mort8dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","8","New Zealand","National"
"80","n",",","data/numerator/dep/mort9dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","9","New Zealand","National"
"81","n",",","data/numerator/dep/mort10dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","10","New Zealand","National"
"82","n",",","data/numerator/dep/mort12dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","12","New Zealand","National"
"83","n",",","data/numerator/dep/mort34dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","34","New Zealand","National"
"84","n",",","data/numerator/dep/mort56dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","56","New Zealand","National"
"85","n",",","data/numerator/dep/mort78dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","78","New Zealand","National"
"86","n",",","data/numerator/dep/mort910dep06pearcemaorinat.csv","Maori","Mortality - Pearce Amenable","910","New Zealand","National"
"87","n",",","data/numerator/dep/mort1dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","1","New Zealand","National"
"88","n",",","data/numerator/dep/mort2dep06pearcenonmaorinat.csv","Non-Maori","Mortality - Pearce Amenable","2","New Zealand","National"
