"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,4,9,21,"Tasman",2
2012,"Male",0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,5,4,15,"Tasman",2
2012,"Female",1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,2,11,"Tasman",2
2012,"Total",1,0,0,0,0,0,0,0,0,0,1,2,2,1,6,7,6,26,"Tasman",2
2013,"Male",1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,3,10,"Tasman",2
2013,"Female",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,5,"Tasman",2
2013,"Total",1,0,0,0,0,0,0,1,0,0,1,1,2,0,1,2,6,15,"Tasman",2
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,7,"Nelson",2
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,"Nelson",2
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,7,12,"Nelson",2
2007,"Male",0,0,0,0,0,0,0,1,0,0,0,1,2,1,4,0,2,11,"Nelson",2
2007,"Female",0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,9,15,"Nelson",2
2007,"Total",0,0,0,1,0,0,0,1,0,0,0,3,3,1,5,1,11,26,"Nelson",2
2008,"Male",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,5,9,"Nelson",2
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,19,24,"Nelson",2
2008,"Total",0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,4,24,33,"Nelson",2
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,8,12,"Nelson",2
2009,"Female",0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,2,22,29,"Nelson",2
2009,"Total",0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,3,30,41,"Nelson",2
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,18,25,"Nelson",2
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,7,23,35,"Nelson",2
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,10,41,60,"Nelson",2
2011,"Male",0,0,0,1,0,0,0,0,1,0,0,0,2,0,4,1,27,36,"Nelson",2
2011,"Female",1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,32,40,"Nelson",2
2011,"Total",1,0,0,1,0,0,0,0,1,0,0,1,3,2,5,3,59,76,"Nelson",2
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,32,40,"Nelson",2
2012,"Female",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,33,39,"Nelson",2
2012,"Total",0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,7,65,79,"Nelson",2
2013,"Male",0,0,0,0,0,1,0,0,0,1,2,1,0,1,3,1,21,31,"Nelson",2
