"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,4,"Papakura",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,6,"Papakura",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,"Papakura",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,9,"Papakura",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,4,"Papakura",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Papakura",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,5,"Papakura",1
2006,"Male",0,0,0,1,1,0,0,1,0,2,0,2,1,1,1,3,4,17,"Franklin",1
2006,"Female",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,"Franklin",1
2006,"Total",0,0,0,1,1,0,1,1,0,2,0,3,1,1,1,3,5,20,"Franklin",1
2007,"Male",1,0,0,1,0,0,0,0,0,1,1,0,1,2,3,3,2,15,"Franklin",1
2007,"Female",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,"Franklin",1
2007,"Total",1,0,0,1,0,0,0,0,2,1,1,0,1,2,3,3,2,17,"Franklin",1
2008,"Male",0,0,0,0,0,0,0,0,0,1,0,3,2,1,2,2,3,14,"Franklin",1
2008,"Female",1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,4,9,"Franklin",1
2008,"Total",1,0,0,0,0,0,0,0,0,1,1,3,3,3,2,2,7,23,"Franklin",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,2,10,"Franklin",1
2009,"Female",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,6,"Franklin",1
2009,"Total",0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,2,7,16,"Franklin",1
2010,"Male",0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,2,11,"Franklin",1
2010,"Female",0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,0,6,13,"Franklin",1
2010,"Total",0,0,0,0,0,0,0,0,0,2,1,3,2,5,2,1,8,24,"Franklin",1
2011,"Male",0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,4,10,"Franklin",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,5,"Franklin",1
2011,"Total",0,0,0,0,0,0,0,0,1,1,0,1,3,1,0,2,6,15,"Franklin",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,1,2,0,2,3,0,2,10,"Franklin",1
2012,"Female",0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,4,10,"Franklin",1
2012,"Total",0,0,0,0,0,0,0,0,0,1,3,3,0,4,3,0,6,20,"Franklin",1
2013,"Male",1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,5,13,"Franklin",1
2013,"Female",0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,6,"Franklin",1
2013,"Total",1,0,0,0,0,0,0,0,0,1,1,1,1,4,1,2,7,19,"Franklin",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2009,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2009,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2010,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2010,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2011,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2011,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2012,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2012,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2013,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
2013,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thames-Coromandel",1
