"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,5,"Bay of Plenty",1
2007,"Total",0,0,0,0,0,0,0,1,0,0,1,2,1,3,2,2,5,17,"Bay of Plenty",1
2008,"Male",2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,15,"Bay of Plenty",1
2008,"Female",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,7,"Bay of Plenty",1
2008,"Total",3,0,0,0,0,0,0,0,0,0,0,1,3,3,3,2,7,22,"Bay of Plenty",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,3,12,"Bay of Plenty",1
2009,"Female",0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,3,10,"Bay of Plenty",1
2009,"Total",0,0,0,0,0,0,0,0,0,1,0,1,3,5,5,1,6,22,"Bay of Plenty",1
2010,"Male",1,0,0,0,1,0,0,1,0,0,1,1,1,1,3,1,9,20,"Bay of Plenty",1
2010,"Female",0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,4,10,"Bay of Plenty",1
2010,"Total",1,0,0,0,1,0,0,1,0,0,2,1,1,3,5,2,13,30,"Bay of Plenty",1
2011,"Male",0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,9,15,"Bay of Plenty",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,9,"Bay of Plenty",1
2011,"Total",0,0,0,0,0,0,1,0,0,0,1,1,1,3,1,3,13,24,"Bay of Plenty",1
2012,"Male",0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,7,13,"Bay of Plenty",1
2012,"Female",1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,5,12,"Bay of Plenty",1
2012,"Total",1,0,0,0,0,0,0,0,0,0,1,1,2,2,4,2,12,25,"Bay of Plenty",1
2013,"Male",1,0,0,0,1,0,0,0,0,0,0,1,1,5,1,5,5,20,"Bay of Plenty",1
2013,"Female",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,"Bay of Plenty",1
2013,"Total",1,0,0,0,1,0,0,0,0,0,0,1,2,5,2,5,5,22,"Bay of Plenty",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2006,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2006,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2007,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2007,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2007,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2008,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2008,"Female",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2008,"Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
2009,"Male",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tairawhiti",1
