"Year","Factor","0.4","5.9","10.14","15.19","20.24","25.29","30.34","35.39","40.44","45.49","50.54","55.59","60.64","65.69","70.74","75.79","80 and over","Total","reg","dep"
2010,"Female",1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,3,24,36,"Hawke's Bay",1
2010,"Total",1,0,0,0,0,0,0,0,0,0,1,5,4,3,2,5,32,53,"Hawke's Bay",1
2011,"Male",0,0,0,0,0,1,1,0,0,1,0,0,1,5,6,2,7,24,"Hawke's Bay",1
2011,"Female",0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,23,31,"Hawke's Bay",1
2011,"Total",0,0,0,0,0,1,1,0,0,1,0,0,3,6,9,4,30,55,"Hawke's Bay",1
2012,"Male",0,0,0,0,0,1,0,0,0,0,0,1,2,4,2,4,14,28,"Hawke's Bay",1
2012,"Female",1,0,0,0,1,0,0,0,1,0,1,1,2,0,0,4,15,26,"Hawke's Bay",1
2012,"Total",1,0,0,0,1,1,0,0,1,0,1,2,4,4,2,8,29,54,"Hawke's Bay",1
2013,"Male",1,0,0,1,0,1,0,0,0,0,1,1,1,2,6,4,11,29,"Hawke's Bay",1
2013,"Female",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4,16,23,"Hawke's Bay",1
2013,"Total",1,1,0,1,0,1,0,0,0,0,1,1,2,2,7,8,27,52,"Hawke's Bay",1
2006,"Male",0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,3,8,16,"Midcentral",1
2006,"Female",0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,12,15,"Midcentral",1
2006,"Total",0,0,0,1,0,0,0,0,0,0,1,1,2,2,1,3,20,31,"Midcentral",1
2007,"Male",0,0,0,0,1,1,0,1,1,0,0,1,3,2,0,1,7,18,"Midcentral",1
2007,"Female",1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,6,13,"Midcentral",1
2007,"Total",1,0,0,0,1,1,1,1,2,0,1,1,4,3,1,1,13,31,"Midcentral",1
2008,"Male",0,0,0,0,1,0,0,0,1,1,0,0,2,2,0,0,7,14,"Midcentral",1
2008,"Female",2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,11,19,"Midcentral",1
2008,"Total",2,0,0,0,1,0,0,0,1,1,0,0,2,4,1,3,18,33,"Midcentral",1
2009,"Male",1,0,0,0,1,1,0,1,2,0,2,2,0,2,2,3,9,26,"Midcentral",1
2009,"Female",1,0,0,0,0,0,0,0,0,0,0,2,0,1,3,3,16,26,"Midcentral",1
2009,"Total",2,0,0,0,1,1,0,1,2,0,2,4,0,3,5,6,25,52,"Midcentral",1
2010,"Male",0,0,0,0,0,1,0,0,0,0,2,0,2,2,4,2,4,17,"Midcentral",1
2010,"Female",2,0,0,0,0,0,0,1,0,0,1,0,1,3,2,1,5,16,"Midcentral",1
2010,"Total",2,0,0,0,0,1,0,1,0,0,3,0,3,5,6,3,9,33,"Midcentral",1
2011,"Male",0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,4,9,20,"Midcentral",1
